simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	21	100000.0	-6.750	0.958	17.0	0.0	0.0	4.0	5.0	6.667	0.000000	
1.050	1	21	100000.0	-7.144	0.958	17.0	0.0	0.0	4.0	5.0	4.842	0.000000	
1.075	2	23	500000.0	-7.174	0.986	5.0	0.0	0.0	4.0	3.0	5.962	0.000000	
1.100	3	21	100000.0	-5.227	0.958	17.0	0.0	0.0	4.0	5.0	10.308	0.135534	
1.125	4	21	1000000.0	-4.509	0.958	17.0	0.0	0.0	4.0	5.0	11.931	0.000000	
1.150	5	21	100000.0	-4.430	0.958	17.0	0.0	0.0	4.0	5.0	10.143	0.012718	
1.175	6	21	100000.0	-4.888	0.958	17.0	0.0	0.0	4.0	5.0	10.143	0.966072	
1.200	7	21	500000.0	-5.497	0.958	17.0	0.0	0.0	4.0	5.0	10.000	0.000000	
1.225	8	21	100000.0	-3.982	0.958	17.0	0.0	0.0	4.0	5.0	17.714	0.999806	
1.250	9	21	1000000.0	-4.611	0.958	17.0	0.0	0.0	4.0	5.0	11.931	0.000000	
1.275	10	21	100000.0	-3.600	0.958	17.0	0.0	0.0	4.0	5.0	23.714	0.999913	
1.300	11	21	100000.0	-5.038	0.958	17.0	0.0	0.0	4.0	5.0	18.000	0.999217	
1.325	12	23	500000.0	-5.998	0.986	5.0	0.0	0.0	4.0	3.0	6.000	0.182990	
1.350	13	21	100000.0	-4.929	0.958	17.0	0.0	0.0	4.0	5.0	18.857	0.124545	
1.375	14	21	1000000.0	-3.071	0.958	17.0	0.0	0.0	4.0	5.0	28.000	0.995089	
1.400	15	21	100000.0	-3.098	0.958	17.0	0.0	0.0	4.0	5.0	28.000	0.999998	
1.425	16	21	100000.0	-4.409	0.958	17.0	0.0	0.0	4.0	5.0	17.429	0.962670	
1.450	17	21	500000.0	-3.926	0.958	17.0	0.0	0.0	4.0	5.0	19.786	0.999973	
1.475	18	21	100000.0	-5.810	0.958	17.0	0.0	0.0	4.0	5.0	16.500	0.095424	
1.500	19	21	1000000.0	-3.454	0.958	17.0	0.0	0.0	4.0	5.0	27.806	0.999698	
1.525	20	21	100000.0	-3.385	0.958	17.0	0.0	0.0	4.0	5.0	28.000	0.999992	
1.550	21	22	100000.0	-3.600	0.612	2.0	0.0	0.0	0.0	0.0	22.000	0.977126	
1.575	22	21	500000.0	-6.059	0.958	17.0	0.0	0.0	4.0	5.0	17.571	0.999180	
1.600	23	23	100000.0	-5.883	0.986	5.0	0.0	0.0	4.0	3.0	6.143	0.002141	
