simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	16	100000.0	-4.395	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.993419	
1.050	1	17	100000.0	-6.853	0.851	8.0	0.0	0.0	3.0	3.0	16.000	0.016592	
1.075	2	13	500000.0	-7.720	0.837	2.0	0.0	0.0	2.0	3.0	4.557	0.000000	
1.100	3	12	100000.0	-5.476	0.663	5.0	0.0	0.0	2.0	1.0	18.182	0.579046	
1.125	4	13	1000000.0	-5.162	0.837	2.0	0.0	0.0	2.0	3.0	12.090	0.999390	
1.150	5	13	100000.0	-4.384	0.837	2.0	0.0	0.0	2.0	3.0	17.714	0.965102	
1.175	6	12	100000.0	-4.764	0.663	5.0	0.0	0.0	2.0	1.0	17.750	0.965134	
1.200	7	12	500000.0	-5.201	0.663	5.0	0.0	0.0	2.0	1.0	15.069	0.999666	
1.225	8	12	100000.0	-8.651	0.663	6.0	0.0	0.0	2.0	1.0	18.107	0.999919	
1.250	9	12	1000000.0	-10.444	0.663	6.0	0.0	0.0	2.0	2.0	16.095	0.576988	
1.275	10	13	100000.0	-11.176	0.837	2.0	0.0	0.0	2.0	2.0	9.579	0.991187	
1.300	11	15	100000.0	-4.298	0.375	2.0	0.0	0.0	0.0	0.0	28.000	0.627980	
1.325	12	17	500000.0	-3.209	0.851	8.0	0.0	0.0	3.0	3.0	24.138	0.999992	
1.350	13	14	100000.0	-7.140	0.577	2.0	0.0	0.0	0.0	1.0	16.400	0.000021	
1.375	14	14	1000000.0	-5.168	0.577	2.0	0.0	0.0	0.0	1.0	21.000	0.985390	
1.400	15	15	100000.0	-8.787	0.375	2.0	0.0	0.0	0.0	0.0	28.000	1.000000	
1.425	16	12	100000.0	-3.741	0.663	6.0	0.0	0.0	2.0	2.0	22.000	0.995620	
1.450	17	12	500000.0	-3.513	0.663	6.0	0.0	0.0	2.0	2.0	21.486	0.999973	
1.475	18	11	100000.0	-3.210	0.483	1.0	0.0	0.0	1.0	0.0	25.143	0.994103	
1.500	19	14	1000000.0	-8.812	0.577	2.0	0.0	0.0	0.0	2.0	21.133	0.999865	
1.525	20	14	100000.0	-6.060	0.577	2.0	0.0	0.0	0.0	2.0	26.000	0.982506	
1.550	21	12	100000.0	-11.705	0.663	7.0	0.0	0.0	2.0	1.0	14.674	0.971508	
1.575	22	12	500000.0	-8.599	0.663	7.0	0.0	0.0	3.0	1.0	13.206	0.000000	
1.600	23	17	100000.0	-3.296	0.851	8.0	0.0	0.0	3.0	3.0	22.000	0.992078	
1.625	24	17	1000000.0	-6.116	0.851	8.0	0.0	0.0	3.0	3.0	10.045	0.999939	
1.650	25	17	100000.0	-6.620	0.851	8.0	0.0	0.0	3.0	3.0	11.600	0.112154	
1.675	26	17	100000.0	-4.732	0.851	8.0	0.0	0.0	3.0	3.0	10.333	0.774172	
1.700	27	17	500000.0	-4.362	0.851	8.0	0.0	0.0	3.0	3.0	12.176	0.083677	
1.725	28	13	100000.0	-8.309	0.837	3.0	0.0	0.0	2.0	2.0	7.982	0.000000	
1.750	29	13	1000000.0	-7.608	0.837	3.0	0.0	0.0	2.0	2.0	6.575	0.998179	
1.775	30	16	100000.0	-4.664	0.500	2.0	0.0	0.0	0.0	0.0	28.000	0.172772	
1.800	31	17	100000.0	-3.170	0.851	8.0	0.0	0.0	3.0	3.0	25.429	0.999920	
1.825	32	17	500000.0	-3.303	0.851	8.0	0.0	0.0	3.0	3.0	20.143	0.999933	
1.850	33	17	100000.0	-6.741	0.851	8.0	0.0	0.0	3.0	3.0	10.800	0.807800	
1.875	34	17	1000000.0	-6.011	0.851	8.0	0.0	0.0	3.0	3.0	11.439	0.999777	
1.900	35	13	100000.0	-10.245	0.837	4.0	0.0	0.0	2.0	2.0	6.842	0.718444	
1.925	36	17	100000.0	-11.507	0.851	8.0	0.0	0.0	3.0	3.0	14.835	0.000000	
1.950	37	17	500000.0	-10.758	0.851	8.0	0.0	0.0	4.0	3.0	13.776	0.978300	
1.975	38	16	100000.0	-8.964	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.065292	
2.000	39	13	1000000.0	-7.846	0.837	4.0	0.0	0.0	1.0	3.0	5.848	0.000000	
2.025	0	16	100000.0	-4.442	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.429703	
2.050	1	17	100000.0	-6.849	0.850	7.0	0.0	0.0	4.0	2.0	10.778	0.000000	
2.075	2	13	500000.0	-7.668	0.856	4.0	0.0	0.0	1.0	3.0	4.233	0.599137	
2.100	3	6	100000.0	-11.833	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.579046	
