simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	16	100000.0	-4.395	0.500	3.0	0.0	0.0	0.0	0.0	28.000	0.022248	
1.050	1	16	100000.0	-8.840	0.500	4.0	0.0	0.0	0.0	0.0	28.000	0.529456	
1.075	2	13	500000.0	-7.720	0.837	2.0	0.0	0.0	2.0	3.0	4.557	0.000101	
1.100	3	12	100000.0	-5.476	0.663	5.0	0.0	0.0	2.0	1.0	18.182	0.925453	
1.125	4	15	1000000.0	-10.982	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.999994	
1.150	5	13	100000.0	-4.384	0.837	2.0	0.0	0.0	2.0	2.0	17.714	0.965102	
1.175	6	12	100000.0	-4.764	0.663	5.0	0.0	0.0	2.0	1.0	17.750	0.754126	
1.200	7	12	500000.0	-5.201	0.663	5.0	0.0	0.0	2.0	1.0	15.069	0.999889	
1.225	8	12	100000.0	-8.651	0.663	6.0	0.0	0.0	2.0	1.0	18.107	0.999757	
1.250	9	12	1000000.0	-10.444	0.663	6.0	0.0	0.0	2.0	2.0	16.095	0.998645	
1.275	10	15	100000.0	-4.760	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.938348	
1.300	11	15	100000.0	-4.298	0.375	3.0	0.0	0.0	0.0	1.0	28.000	0.992779	
1.325	12	17	500000.0	-3.209	0.851	7.0	0.0	0.0	3.0	3.0	24.138	0.997982	
1.350	13	15	100000.0	-7.574	0.375	4.0	0.0	0.0	0.0	1.0	21.000	0.000000	
1.375	14	14	1000000.0	-5.168	0.577	1.0	0.0	0.0	0.0	1.0	21.000	0.999995	
1.400	15	12	100000.0	-10.042	0.663	7.0	0.0	0.0	2.0	2.0	14.486	1.000000	
1.425	16	12	100000.0	-3.741	0.663	7.0	0.0	0.0	2.0	2.0	22.000	0.995620	
1.450	17	12	500000.0	-3.513	0.663	7.0	0.0	0.0	2.0	2.0	21.486	0.993338	
1.475	18	11	100000.0	-3.210	0.483	1.0	0.0	0.0	1.0	0.0	25.143	0.982490	
1.500	19	14	1000000.0	-8.812	0.577	1.0	0.0	0.0	0.0	2.0	23.500	0.995057	
1.525	20	0	100000.0	-8.019	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.999990	
1.550	21	11	100000.0	-10.110	0.483	2.0	0.0	0.0	1.0	0.0	20.476	0.919030	
1.575	22	12	500000.0	-8.599	0.663	7.0	0.0	0.0	3.0	1.0	13.206	0.000000	
1.600	23	17	100000.0	-3.296	0.851	7.0	0.0	0.0	3.0	3.0	22.000	0.999996	
1.625	24	16	1000000.0	-9.239	0.500	3.0	0.0	0.0	0.0	1.0	18.667	0.994545	
1.650	25	16	100000.0	-9.071	0.500	4.0	0.0	0.0	0.0	1.0	14.000	0.482787	
1.675	26	17	100000.0	-4.732	0.851	6.0	0.0	0.0	3.0	2.0	10.333	0.998809	
1.700	27	17	500000.0	-4.362	0.851	6.0	0.0	0.0	3.0	2.0	12.176	0.803228	
1.725	28	13	100000.0	-8.309	0.837	2.0	0.0	0.0	2.0	1.0	8.951	0.000000	
1.750	29	13	1000000.0	-7.608	0.837	2.0	0.0	0.0	2.0	1.0	6.575	0.000000	
1.775	30	16	100000.0	-4.664	0.500	4.0	0.0	0.0	0.0	1.0	28.000	0.999973	
1.800	31	17	100000.0	-3.170	0.851	6.0	0.0	0.0	3.0	2.0	25.429	0.999997	
1.825	32	17	500000.0	-3.303	0.851	6.0	0.0	0.0	3.0	2.0	20.143	0.999997	
1.850	33	16	100000.0	-8.446	0.500	5.0	0.0	0.0	0.0	1.0	11.200	0.774835	
1.875	34	16	1000000.0	-9.048	0.500	5.0	0.0	0.0	0.0	2.0	9.333	0.501892	
1.900	35	17	100000.0	-5.425	0.851	5.0	0.0	0.0	3.0	1.0	7.000	0.134321	
1.925	36	17	100000.0	-11.507	0.851	6.0	0.0	0.0	3.0	1.0	15.553	0.000000	
1.950	37	17	500000.0	-10.758	0.851	6.0	0.0	0.0	4.0	1.0	13.997	0.978300	
1.975	38	17	100000.0	-6.473	0.851	6.0	0.0	0.0	4.0	1.0	13.556	0.757422	
2.000	39	17	1000000.0	-7.159	0.851	6.0	0.0	0.0	4.0	1.0	5.200	0.076987	
2.025	0	16	100000.0	-4.442	0.535	5.0	0.0	0.0	0.0	2.0	23.867	0.994605	
2.050	1	16	100000.0	-8.879	0.535	5.0	0.0	0.0	0.0	2.0	13.391	0.529456	
2.075	2	13	500000.0	-7.668	0.815	2.0	0.0	0.0	1.0	1.0	5.172	0.000000	
2.100	3	12	100000.0	-5.476	0.644	5.0	0.0	0.0	3.0	1.0	13.636	0.834632	
2.125	4	13	1000000.0	-5.205	0.815	2.0	0.0	0.0	1.0	2.0	8.527	0.999994	
2.150	5	13	100000.0	-4.358	0.815	2.0	0.0	0.0	1.0	2.0	13.263	0.999987	
2.175	6	12	100000.0	-4.690	0.644	5.0	0.0	0.0	3.0	1.0	13.143	0.990250	
2.200	7	12	500000.0	-5.214	0.644	5.0	0.0	0.0	3.0	1.0	13.392	0.999966	
2.225	8	12	100000.0	-8.625	0.644	5.0	0.0	0.0	3.0	1.0	8.480	0.999757	
2.250	9	12	1000000.0	-10.505	0.644	5.0	0.0	0.0	3.0	1.0	24.933	0.998645	
2.275	10	13	100000.0	-11.224	0.815	3.0	0.0	0.0	1.0	2.0	6.822	0.938348	
2.300	11	15	100000.0	-4.253	0.445	2.0	0.0	0.0	0.0	0.0	18.333	0.982424	
2.325	12	17	500000.0	-3.206	0.805	6.0	0.0	0.0	4.0	1.0	22.800	0.999988	
2.350	13	15	100000.0	-7.647	0.445	2.0	0.0	0.0	0.0	0.0	20.333	0.000000	
2.375	14	14	1000000.0	-5.200	0.652	0.0	0.0	0.0	0.0	2.0	17.243	0.990085	
2.400	15	14	100000.0	-9.241	0.652	1.0	0.0	0.0	0.0	2.0	11.843	1.000000	
2.425	16	12	100000.0	-3.759	0.644	4.0	0.0	0.0	3.0	1.0	19.714	0.989296	
2.450	17	12	500000.0	-3.503	0.644	4.0	0.0	0.0	3.0	1.0	18.853	0.990094	
2.475	18	11	100000.0	-3.209	0.458	2.0	0.0	0.0	0.0	0.0	25.857	0.968546	
2.500	19	12	1000000.0	-7.063	0.644	4.0	0.0	0.0	3.0	2.0	15.289	0.995057	
2.525	20	14	100000.0	-5.962	0.652	2.0	0.0	0.0	0.0	1.0	8.622	0.999990	
2.550	21	11	100000.0	-10.244	0.458	2.0	0.0	0.0	0.0	0.0	28.000	0.919030	
2.575	22	12	500000.0	-8.564	0.644	4.0	0.0	0.0	3.0	2.0	10.157	0.000000	
2.600	23	17	100000.0	-3.300	0.805	6.0	0.0	0.0	4.0	1.0	20.143	0.993504	
2.625	24	16	1000000.0	-9.263	0.535	5.0	0.0	0.0	0.0	2.0	19.256	0.994545	
2.650	25	16	100000.0	-9.158	0.535	5.0	0.0	0.0	0.0	2.0	9.667	0.482787	
2.675	26	17	100000.0	-4.718	0.805	6.0	0.0	0.0	4.0	1.0	10.522	0.999964	
2.700	27	17	500000.0	-4.404	0.805	6.0	0.0	0.0	4.0	1.0	11.756	0.999970	
2.725	28	17	100000.0	-11.358	0.805	7.0	0.0	0.0	4.0	1.0	17.395	0.000000	
2.750	29	12	1000000.0	-9.111	0.644	4.0	0.0	0.0	3.0	3.0	13.590	0.000000	
2.775	30	16	100000.0	-4.664	0.535	5.0	0.0	0.0	0.0	2.0	20.000	0.999854	
2.800	31	17	100000.0	-3.170	0.805	7.0	0.0	0.0	4.0	1.0	23.714	0.994700	
2.825	32	17	500000.0	-3.303	0.805	7.0	0.0	0.0	4.0	1.0	19.759	0.999989	
2.850	33	16	100000.0	-8.446	0.535	5.0	0.0	0.0	0.0	2.0	28.000	0.774835	
2.875	34	16	1000000.0	-9.048	0.535	5.0	0.0	0.0	0.0	2.0	2.298	0.501892	
2.900	35	13	100000.0	-10.245	0.815	3.0	0.0	0.0	1.0	1.0	4.609	0.134321	
2.925	36	12	100000.0	-8.165	0.644	5.0	0.0	0.0	3.0	3.0	12.231	0.000000	
2.950	37	17	500000.0	-10.758	0.805	5.0	0.0	0.0	4.0	1.0	28.000	0.978300	
2.975	38	17	100000.0	-6.473	0.805	5.0	0.0	0.0	4.0	1.0	11.182	0.792252	
3.000	39	17	1000000.0	-7.159	0.805	5.0	0.0	0.0	4.0	1.0	5.806	0.000000	
3.025	0	16	100000.0	-4.489	0.811	5.0	0.0	0.0	0.0	2.0	11.000	0.998524	
3.050	1	12	100000.0	-11.971	0.665	6.0	0.0	0.0	3.0	3.0	14.097	0.529456	
3.075	2	17	500000.0	-8.869	0.785	5.0	0.0	0.0	5.0	1.0	15.191	0.000000	
3.100	3	6	100000.0	-11.833	1.000	1.0	0.0	0.0	0.0	0.0	30.000	0.834632	
3.125	4	15	1000000.0	-10.782	0.409	2.0	0.0	0.0	0.0	1.0	26.800	0.999994	
3.150	5	13	100000.0	-4.333	0.737	3.0	0.0	0.0	0.0	0.0	13.867	0.999967	
3.175	6	12	100000.0	-4.622	0.665	5.0	0.0	0.0	3.0	3.0	16.778	0.999901	
3.200	7	12	500000.0	-5.220	0.665	5.0	0.0	0.0	3.0	3.0	12.722	0.900497	
3.225	8	15	100000.0	-10.832	0.409	3.0	0.0	0.0	0.0	1.0	17.867	0.999757	
3.250	9	12	1000000.0	-10.615	0.665	4.0	0.0	0.0	3.0	3.0	22.772	0.998645	
3.275	10	15	100000.0	-4.720	0.409	4.0	0.0	0.0	0.0	1.0	13.400	0.938348	
3.300	11	15	100000.0	-4.215	0.409	4.0	0.0	0.0	0.0	1.0	25.600	0.995148	
3.325	12	17	500000.0	-3.201	0.785	5.0	0.0	0.0	5.0	1.0	21.362	0.995520	
3.350	13	14	100000.0	-7.032	0.665	3.0	0.0	0.0	0.0	1.0	18.480	0.000000	
3.375	14	14	1000000.0	-5.227	0.665	3.0	0.0	0.0	0.0	1.0	18.013	0.999955	
3.400	15	15	100000.0	-8.701	0.409	4.0	0.0	0.0	0.0	1.0	6.400	1.000000	
3.425	16	12	100000.0	-3.783	0.665	4.0	0.0	0.0	3.0	3.0	18.571	0.993480	
3.450	17	12	500000.0	-3.479	0.665	4.0	0.0	0.0	3.0	3.0	19.970	0.999993	
3.475	18	11	100000.0	-3.208	0.400	2.0	0.0	0.0	0.0	0.0	28.000	0.991227	
3.500	19	12	1000000.0	-7.125	0.665	4.0	0.0	0.0	3.0	3.0	12.177	0.995057	
3.525	20	14	100000.0	-5.908	0.665	2.0	0.0	0.0	0.0	1.0	19.714	0.999990	
3.550	21	11	100000.0	-10.407	0.400	2.0	0.0	0.0	0.0	0.0	28.000	0.919030	
3.575	22	11	500000.0	-7.815	0.400	2.0	0.0	0.0	1.0	0.0	28.000	0.000000	
3.600	23	17	100000.0	-3.308	0.785	5.0	0.0	0.0	5.0	1.0	19.714	0.999978	
3.625	24	16	1000000.0	-9.286	0.811	4.0	0.0	0.0	0.0	2.0	3.762	0.994545	
3.650	25	17	100000.0	-6.480	0.785	6.0	0.0	0.0	5.0	1.0	13.810	0.482787	
