simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
1.025	0	22	100000.0	-6.644	0.781	2.0	0.0	4.0	2.0	6.0	9.231	0.998093	
1.050	1	22	300000.0	-5.731	0.781	2.0	0.0	4.0	2.0	6.0	9.882	0.999227	
1.075	2	24	500000.0	-8.281	0.861	1.0	0.0	0.0	3.0	4.0	7.000	0.999074	
1.100	3	22	1000000.0	-6.415	0.781	2.0	0.0	4.0	2.0	6.0	8.389	0.593912	
1.125	4	27	1000000.0	-9.215	0.807	0.0	0.0	0.0	0.0	2.0	6.759	0.907199	
1.150	5	21	100000.0	-8.745	0.333	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
1.175	6	22	300000.0	-8.462	0.781	2.0	0.0	4.0	2.0	6.0	5.769	0.971980	
1.200	7	25	500000.0	-8.090	0.773	0.0	0.0	1.0	1.0	2.0	14.230	0.998093	
1.225	8	26	1000000.0	-9.045	0.677	1.0	0.0	0.0	1.0	1.0	7.637	0.223013	
1.250	9	27	1000000.0	-7.109	0.807	0.0	0.0	0.0	0.0	2.0	9.827	0.997716	
1.275	10	24	100000.0	-6.182	0.861	1.0	0.0	0.0	3.0	4.0	10.500	0.999227	
1.300	11	22	300000.0	-7.876	0.781	2.0	0.0	4.0	2.0	6.0	6.054	0.998956	
1.325	12	24	500000.0	-4.619	0.861	1.0	0.0	0.0	3.0	4.0	12.381	0.998891	
1.350	13	22	1000000.0	-7.910	0.781	2.0	0.0	4.0	2.0	6.0	6.765	0.132224	
1.375	14	24	1000000.0	-9.246	0.861	1.0	0.0	0.0	3.0	4.0	2.928	0.024346	
1.400	15	22	100000.0	-7.347	0.781	2.0	0.0	4.0	2.0	6.0	9.692	0.998093	
1.425	16	25	300000.0	-7.172	0.773	0.0	0.0	1.0	1.0	2.0	12.824	0.999227	
1.450	17	22	500000.0	-8.760	0.781	2.0	0.0	4.0	2.0	6.0	7.538	0.733687	
1.475	18	24	1000000.0	-6.902	0.861	1.0	0.0	0.0	3.0	4.0	8.400	0.998891	
1.500	19	24	1000000.0	-6.945	0.861	1.0	0.0	0.0	3.0	4.0	8.263	0.998408	
1.525	20	21	100000.0	-8.706	0.333	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
1.550	21	14	300000.0	-7.272	1.000	0.0	0.0	1.0	0.0	0.0	28.000	0.998956	
1.575	22	16	500000.0	-8.364	1.000	0.0	0.0	0.0	1.0	0.0	28.000	0.999227	
1.600	23	25	1000000.0	-6.962	0.773	0.0	0.0	1.0	1.0	2.0	11.750	0.994858	
1.625	24	12	1000000.0	-7.549	1.000	0.0	0.0	0.0	0.0	1.0	28.000	0.998891	
1.650	25	23	100000.0	-6.659	0.404	2.0	0.0	1.0	0.0	0.0	20.889	0.999227	
1.675	26	21	300000.0	-9.278	0.333	2.0	0.0	1.0	0.0	0.0	17.471	0.004070	
1.700	27	22	500000.0	-8.085	0.781	2.0	0.0	4.0	2.0	6.0	12.105	0.980320	
1.725	28	22	1000000.0	-7.050	0.781	2.0	0.0	4.0	2.0	6.0	8.848	0.504576	
1.750	29	22	1000000.0	-8.530	0.781	2.0	0.0	4.0	2.0	6.0	10.526	0.104067	
1.775	30	23	100000.0	-6.926	0.404	2.0	0.0	1.0	0.0	0.0	25.500	0.696879	
1.800	31	22	300000.0	-5.336	0.781	2.0	0.0	4.0	2.0	6.0	11.600	0.998956	
1.825	32	26	500000.0	-6.911	0.677	1.0	0.0	0.0	1.0	1.0	11.705	0.998671	
1.850	33	22	1000000.0	-7.399	0.781	2.0	0.0	4.0	2.0	6.0	10.143	0.414947	
1.875	34	22	1000000.0	-6.357	0.781	2.0	0.0	4.0	2.0	6.0	9.150	0.798229	
1.900	35	26	100000.0	-8.670	0.677	1.0	0.0	0.0	1.0	1.0	12.923	0.273527	
1.925	36	23	300000.0	-9.066	0.404	2.0	0.0	1.0	0.0	0.0	16.579	0.024346	
1.950	37	24	500000.0	-4.532	0.861	1.0	0.0	0.0	3.0	4.0	14.114	0.998891	
1.975	38	24	1000000.0	-7.648	0.861	1.0	0.0	0.0	3.0	4.0	7.186	0.943890	
2.000	39	25	1000000.0	-5.736	0.773	0.0	0.0	1.0	1.0	2.0	14.810	0.998987	
2.025	0	22	100000.0	-6.644	0.783	2.0	0.0	4.0	2.0	6.0	8.357	0.999227	
2.050	1	22	300000.0	-5.731	0.783	2.0	0.0	4.0	2.0	6.0	9.884	0.998956	
2.075	2	24	500000.0	-8.281	0.863	1.0	0.0	0.0	3.0	4.0	7.755	0.986213	
2.100	3	22	1000000.0	-6.415	0.783	2.0	0.0	4.0	2.0	6.0	8.107	0.657360	
2.125	4	27	1000000.0	-9.215	0.804	0.0	0.0	0.0	0.0	2.0	6.286	0.938902	
2.150	5	21	100000.0	-8.745	0.328	2.0	0.0	1.0	0.0	0.0	28.000	0.004070	
2.175	6	22	300000.0	-8.462	0.783	2.0	0.0	4.0	2.0	6.0	4.806	0.971980	
2.200	7	25	500000.0	-8.090	0.777	0.0	0.0	1.0	1.0	2.0	12.434	0.994374	
2.225	8	26	1000000.0	-9.045	0.676	1.0	0.0	0.0	1.0	1.0	7.474	0.414947	
2.250	9	27	1000000.0	-7.109	0.804	0.0	0.0	0.0	0.0	2.0	9.942	0.999462	
2.275	10	24	100000.0	-6.182	0.863	1.0	0.0	0.0	3.0	4.0	9.217	0.998093	
2.300	11	22	300000.0	-7.876	0.783	2.0	0.0	4.0	2.0	6.0	6.029	0.998093	
2.325	12	24	500000.0	-4.619	0.863	1.0	0.0	0.0	3.0	4.0	11.587	0.999074	
