% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.025	1	1	3	6	1	0	81	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.041	1	1	5	2	1	28	2196	0	0	0
0.056	1	1	6	7	1	28	2196	0	0	0
0.061	1	1	7	2	1	28	2196	0	0	0
0.069	1	1	7	10	1	28	2196	0	0	0
0.071	1	1	8	2	1	28	2196	0	0	0
0.079	1	1	8	10	1	28	2196	0	0	0
0.081	1	1	9	2	1	28	2196	0	0	0
0.089	1	1	9	10	1	28	2196	0	0	0
0.091	1	1	10	2	1	28	2196	0	0	0
0.099	1	1	10	10	1	28	2196	0	0	0
0.101	1	1	11	2	1	28	2196	0	0	0
0.109	1	1	11	10	1	28	2196	0	0	0
0.111	1	1	12	2	1	28	2196	0	0	0
0.119	1	1	12	10	1	28	2196	0	0	0
0.121	1	1	13	2	1	28	2196	0	0	0
0.129	1	1	13	10	1	28	2196	0	0	0
0.131	1	1	14	2	1	28	2196	0	0	0
0.139	1	1	14	10	1	28	2196	0	0	0
0.141	1	1	15	2	1	28	2196	0	0	0
0.149	1	1	15	10	1	28	2196	0	0	0
0.151	1	1	16	2	1	28	2196	0	0	0
0.159	1	1	16	10	1	28	2196	0	0	0
0.161	1	1	17	2	1	28	2196	0	0	0
0.169	1	1	17	10	1	28	2196	0	0	0
0.171	1	1	18	2	1	28	2196	0	0	0
0.179	1	1	18	10	1	28	2196	0	0	0
0.181	1	1	19	2	1	28	2196	0	0	0
0.189	1	1	19	10	1	28	2196	0	0	0
0.191	1	1	20	2	1	28	2196	0	0	0
0.199	1	1	20	10	1	28	2196	0	0	0
0.201	1	1	21	2	1	28	2196	0	0	0
0.209	1	1	21	10	1	28	2196	0	0	0
0.211	1	1	22	2	1	28	2196	0	0	0
0.219	1	1	22	10	1	28	2196	0	0	0
0.221	1	1	23	2	1	28	2196	0	0	0
0.229	1	1	23	10	1	28	2196	0	0	0
0.231	1	1	24	2	1	28	2196	0	0	0
0.239	1	1	24	10	1	28	2196	0	0	0
0.241	1	1	25	2	1	28	2196	0	0	0
0.249	1	1	25	10	1	28	2196	0	0	0
0.251	1	1	26	2	1	28	2196	0	0	0
0.259	1	1	26	10	1	28	2196	0	0	0
0.261	1	1	27	2	1	28	2196	0	0	0
0.269	1	1	27	10	1	28	2196	0	0	0
0.271	1	1	28	2	1	28	2196	0	0	0
0.279	1	1	28	10	1	28	2196	0	0	0
0.281	1	1	29	2	1	28	2196	0	0	0
0.289	1	1	29	10	1	28	2196	0	0	0
0.291	1	1	30	2	1	28	2196	0	0	0
0.299	1	1	30	10	1	28	2196	0	0	0
0.301	1	1	31	2	1	28	2196	0	0	0
0.32	2	1	33	1	1	28	2196	0	0	0
0.321	2	1	33	2	1	28	2196	0	0	0
0.322	2	1	33	3	1	28	2196	0	0	0
0.323	2	1	33	4	1	28	2196	0	0	0
0.324	2	1	33	5	1	28	2196	0	0	0
0.325	2	1	33	6	1	28	2196	0	0	0
0.326	2	1	33	7	1	28	2196	0	0	0
0.327	2	1	33	8	1	28	2196	0	0	0
0.328	2	1	33	9	1	28	2196	0	0	0
0.329	2	1	33	10	1	28	2196	0	0	0
0.33	2	1	34	1	1	28	2196	0	0	0
0.331	2	1	34	2	1	28	2196	0	0	0
0.339	2	1	34	10	1	28	2196	0	0	0
0.341	2	1	35	2	1	28	2196	0	0	0
0.349	2	1	35	10	1	28	2196	0	0	0
0.351	2	1	36	2	1	28	2196	0	0	0
0.359	2	1	36	10	1	28	2196	0	0	0
0.361	2	1	37	2	1	28	2196	0	0	0
0.369	2	1	37	10	1	28	2196	0	0	0
0.371	2	1	38	2	1	28	2196	0	0	0
0.379	2	1	38	10	1	28	2196	0	0	0
0.381	2	1	39	2	1	28	2196	0	0	0
0.389	2	1	39	10	1	28	2196	0	0	0
0.391	2	1	40	2	1	28	2196	0	0	0
0.399	2	1	40	10	1	28	2196	0	0	0
0.401	2	1	41	2	1	28	2196	0	0	0
0.409	2	1	41	10	1	28	2196	0	0	0
0.411	2	1	42	2	1	28	2196	0	0	0
0.419	2	1	42	10	1	28	2196	0	0	0
0.421	2	1	43	2	1	28	2196	0	0	0
0.429	2	1	43	10	1	28	2196	0	0	0
0.431	2	1	44	2	1	28	2196	0	0	0
0.439	2	1	44	10	1	28	2196	0	0	0
0.441	2	1	45	2	1	28	2196	0	0	0
0.449	2	1	45	10	1	28	2196	0	0	0
0.451	2	1	46	2	1	28	2196	0	0	0
0.459	2	1	46	10	1	28	2196	0	0	0
0.461	2	1	47	2	1	28	2196	0	0	0
0.469	2	1	47	10	1	28	2196	0	0	0
0.471	2	1	48	2	1	28	2196	0	0	0
0.479	2	1	48	10	1	28	2196	0	0	0
0.481	2	1	49	2	1	28	2196	0	0	0
0.489	2	1	49	10	1	28	2196	0	0	0
0.491	2	1	50	2	1	28	2196	0	0	0
0.499	2	1	50	10	1	28	2196	0	0	0
