% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
27	1	1	1	0	0	81	0	1	0
42	1	1	1	0	28	2196	0	1	0
43	1	1	1	0	28	2196	0	1	0
58	1	1	1	0	28	2196	0	1	0
63	1	1	1	0	28	2196	0	1	0
71	1	1	1	0	28	2196	0	1	0
73	1	1	1	0	28	2196	0	1	0
81	1	1	1	0	28	2196	0	1	0
83	1	1	1	0	28	2196	0	1	0
91	1	1	1	0	28	2196	0	1	0
93	1	1	1	0	28	2196	0	1	0
101	1	1	1	0	28	2196	0	1	0
103	1	1	1	0	28	2196	0	1	0
111	1	1	1	0	28	2196	0	1	0
113	1	1	1	0	28	2196	0	1	0
121	1	1	1	0	28	2196	0	1	0
123	1	1	1	0	28	2196	0	1	0
131	1	1	1	0	28	2196	0	1	0
133	1	1	1	0	28	2196	0	1	0
141	1	1	1	0	28	2196	0	1	0
143	1	1	1	0	28	2196	0	1	0
151	1	1	1	0	28	2196	0	1	0
153	1	1	1	0	28	2196	0	1	0
161	1	1	1	0	28	2196	0	1	0
163	1	1	1	0	28	2196	0	1	0
171	1	1	1	0	28	2196	0	1	0
173	1	1	1	0	28	2196	0	1	0
181	1	1	1	0	28	2196	0	1	0
183	1	1	1	0	28	2196	0	1	0
191	1	1	1	0	28	2196	0	1	0
193	1	1	1	0	28	2196	0	1	0
201	1	1	1	0	28	2196	0	1	0
203	1	1	1	0	28	2196	0	1	0
211	1	1	1	0	28	2196	0	1	0
213	1	1	1	0	28	2196	0	1	0
221	1	1	1	0	28	2196	0	1	0
223	1	1	1	0	28	2196	0	1	0
231	1	1	1	0	28	2196	0	1	0
233	1	1	1	0	28	2196	0	1	0
241	1	1	1	0	28	2196	0	1	0
243	1	1	1	0	28	2196	0	1	0
251	1	1	1	0	28	2196	0	1	0
253	1	1	1	0	28	2196	0	1	0
261	1	1	1	0	28	2196	0	1	0
263	1	1	1	0	28	2196	0	1	0
271	1	1	1	0	28	2196	0	1	0
273	1	1	1	0	28	2196	0	1	0
281	1	1	1	0	28	2196	0	1	0
283	1	1	1	0	28	2196	0	1	0
291	1	1	1	0	28	2196	0	1	0
293	1	1	1	0	28	2196	0	1	0
301	1	1	1	0	28	2196	0	1	0
303	1	1	1	0	28	2196	0	1	0
322	2	1	1	0	28	2196	0	1	0
323	2	1	1	0	28	2196	0	1	0
324	2	1	1	0	28	2196	0	1	0
325	2	1	1	0	28	2196	0	1	0
326	2	1	1	0	28	2196	0	1	0
327	2	1	1	0	28	2196	0	1	0
328	2	1	1	0	28	2196	0	1	0
329	2	1	1	0	28	2196	0	1	0
330	2	1	1	0	28	2196	0	1	0
331	2	1	1	0	28	2196	0	1	0
332	2	1	1	0	28	2196	0	1	0
333	2	1	1	0	28	2196	0	1	0
341	2	1	1	0	28	2196	0	1	0
343	2	1	1	0	28	2196	0	1	0
351	2	1	1	0	28	2196	0	1	0
353	2	1	1	0	28	2196	0	1	0
361	2	1	1	0	28	2196	0	1	0
363	2	1	1	0	28	2196	0	1	0
371	2	1	1	0	28	2196	0	1	0
373	2	1	1	0	28	2196	0	1	0
381	2	1	1	0	28	2196	0	1	0
383	2	1	1	0	28	2196	0	1	0
391	2	1	1	0	28	2196	0	1	0
393	2	1	1	0	28	2196	0	1	0
401	2	1	1	0	28	2196	0	1	0
403	2	1	1	0	28	2196	0	1	0
411	2	1	1	0	28	2196	0	1	0
413	2	1	1	0	28	2196	0	1	0
421	2	1	1	0	28	2196	0	1	0
423	2	1	1	0	28	2196	0	1	0
431	2	1	1	0	28	2196	0	1	0
433	2	1	1	0	28	2196	0	1	0
441	2	1	1	0	28	2196	0	1	0
443	2	1	1	0	28	2196	0	1	0
451	2	1	1	0	28	2196	0	1	0
453	2	1	1	0	28	2196	0	1	0
461	2	1	1	0	28	2196	0	1	0
463	2	1	1	0	28	2196	0	1	0
471	2	1	1	0	28	2196	0	1	0
473	2	1	1	0	28	2196	0	1	0
481	2	1	1	0	28	2196	0	1	0
483	2	1	1	0	28	2196	0	1	0
491	2	1	1	0	28	2196	0	1	0
493	2	1	1	0	28	2196	0	1	0
501	2	1	1	0	28	2196	0	1	0
