% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.033	1	1	4	4	1	0	85	0
0.049	1	1	5	10	1	28	2292	0
0.056	1	1	6	7	1	28	2292	0
0.064	1	1	7	5	1	28	2292	0
0.066	1	1	7	7	1	28	2292	0
0.074	1	1	8	5	1	28	2292	0
0.076	1	1	8	7	1	28	2292	0
0.084	1	1	9	5	1	28	2292	0
0.086	1	1	9	7	1	28	2292	0
0.094	1	1	10	5	1	28	2292	0
0.096	1	1	10	7	1	28	2292	0
0.104	1	1	11	5	1	28	2292	0
0.106	1	1	11	7	1	28	2292	0
0.114	1	1	12	5	1	28	2292	0
0.116	1	1	12	7	1	28	2292	0
0.124	1	1	13	5	1	28	2292	0
0.126	1	1	13	7	1	28	2292	0
0.134	1	1	14	5	1	28	2292	0
0.136	1	1	14	7	1	28	2292	0
0.144	1	1	15	5	1	28	2292	0
0.146	1	1	15	7	1	28	2292	0
0.154	1	1	16	5	1	28	2292	0
0.156	1	1	16	7	1	28	2292	0
0.164	1	1	17	5	1	28	2292	0
0.166	1	1	17	7	1	28	2292	0
0.174	1	1	18	5	1	28	2292	0
0.176	1	1	18	7	1	28	2292	0
0.184	1	1	19	5	1	28	2292	0
0.186	1	1	19	7	1	28	2292	0
0.194	1	1	20	5	1	28	2292	0
0.196	1	1	20	7	1	28	2292	0
0.204	1	1	21	5	1	28	2292	0
0.206	1	1	21	7	1	28	2292	0
0.214	1	1	22	5	1	28	2292	0
0.216	1	1	22	7	1	28	2292	0
0.224	1	1	23	5	1	28	2292	0
0.226	1	1	23	7	1	28	2292	0
0.234	1	1	24	5	1	28	2292	0
0.236	1	1	24	7	1	28	2292	0
0.244	1	1	25	5	1	28	2292	0
0.246	1	1	25	7	1	28	2292	0
0.254	1	1	26	5	1	28	2292	0
0.256	1	1	26	7	1	28	2292	0
0.264	1	1	27	5	1	28	2292	0
0.266	1	1	27	7	1	28	2292	0
0.274	1	1	28	5	1	28	2292	0
0.276	1	1	28	7	1	28	2292	0
0.284	1	1	29	5	1	28	2292	0
0.286	1	1	29	7	1	28	2292	0
0.294	1	1	30	5	1	28	2292	0
0.296	1	1	30	7	1	28	2292	0
0.304	1	1	31	5	1	28	2292	0
0.313	2	1	32	4	1	0	85	0
0.314	2	1	32	5	1	0	85	0
0.315	2	1	32	6	1	0	85	0
0.316	2	1	32	7	1	0	85	0
0.317	2	1	32	8	1	0	85	0
0.318	2	1	32	9	1	0	85	0
0.319	2	1	32	10	1	0	85	0
0.32	2	1	33	1	1	0	85	0
0.321	2	1	33	2	1	28	2292	0
0.324	2	1	33	5	1	28	2292	0
0.325	2	1	33	6	1	28	2292	0
0.326	2	1	33	7	1	28	2292	0
0.327	2	1	33	8	1	28	2292	0
0.329	2	1	33	10	1	28	2292	0
0.334	2	1	34	5	1	28	2292	0
0.336	2	1	34	7	1	28	2292	0
0.344	2	1	35	5	1	28	2292	0
0.346	2	1	35	7	1	28	2292	0
0.354	2	1	36	5	1	28	2292	0
0.356	2	1	36	7	1	28	2292	0
0.364	2	1	37	5	1	28	2292	0
0.366	2	1	37	7	1	28	2292	0
0.374	2	1	38	5	1	28	2292	0
0.376	2	1	38	7	1	28	2292	0
0.384	2	1	39	5	1	28	2292	0
0.386	2	1	39	7	1	28	2292	0
0.394	2	1	40	5	1	28	2292	0
0.396	2	1	40	7	1	28	2292	0
0.404	2	1	41	5	1	28	2292	0
0.406	2	1	41	7	1	28	2292	0
0.414	2	1	42	5	1	28	2292	0
0.416	2	1	42	7	1	28	2292	0
0.424	2	1	43	5	1	28	2292	0
0.426	2	1	43	7	1	28	2292	0
0.434	2	1	44	5	1	28	2292	0
0.436	2	1	44	7	1	28	2292	0
0.444	2	1	45	5	1	28	2292	0
0.446	2	1	45	7	1	28	2292	0
0.454	2	1	46	5	1	28	2292	0
0.456	2	1	46	7	1	28	2292	0
0.464	2	1	47	5	1	28	2292	0
0.466	2	1	47	7	1	28	2292	0
0.474	2	1	48	5	1	28	2292	0
0.476	2	1	48	7	1	28	2292	0
0.484	2	1	49	5	1	28	2292	0
0.486	2	1	49	7	1	28	2292	0
0.494	2	1	50	5	1	28	2292	0
