% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
39	1	1	1	0	0	85	0	1	0
55	1	1	1	0	28	2292	0	1	0
62	1	1	1	0	28	2292	0	1	0
70	1	1	1	0	28	2292	0	1	0
72	1	1	1	0	28	2292	0	1	0
80	1	1	1	0	28	2292	0	1	0
82	1	1	1	0	28	2292	0	1	0
90	1	1	1	0	28	2292	0	1	0
92	1	1	1	0	28	2292	0	1	0
100	1	1	1	0	28	2292	0	1	0
102	1	1	1	0	28	2292	0	1	0
110	1	1	1	0	28	2292	0	1	0
112	1	1	1	0	28	2292	0	1	0
120	1	1	1	0	28	2292	0	1	0
122	1	1	1	0	28	2292	0	1	0
130	1	1	1	0	28	2292	0	1	0
132	1	1	1	0	28	2292	0	1	0
140	1	1	1	0	28	2292	0	1	0
142	1	1	1	0	28	2292	0	1	0
150	1	1	1	0	28	2292	0	1	0
152	1	1	1	0	28	2292	0	1	0
160	1	1	1	0	28	2292	0	1	0
162	1	1	1	0	28	2292	0	1	0
170	1	1	1	0	28	2292	0	1	0
172	1	1	1	0	28	2292	0	1	0
180	1	1	1	0	28	2292	0	1	0
182	1	1	1	0	28	2292	0	1	0
190	1	1	1	0	28	2292	0	1	0
192	1	1	1	0	28	2292	0	1	0
200	1	1	1	0	28	2292	0	1	0
202	1	1	1	0	28	2292	0	1	0
210	1	1	1	0	28	2292	0	1	0
212	1	1	1	0	28	2292	0	1	0
220	1	1	1	0	28	2292	0	1	0
222	1	1	1	0	28	2292	0	1	0
230	1	1	1	0	28	2292	0	1	0
232	1	1	1	0	28	2292	0	1	0
240	1	1	1	0	28	2292	0	1	0
242	1	1	1	0	28	2292	0	1	0
250	1	1	1	0	28	2292	0	1	0
252	1	1	1	0	28	2292	0	1	0
260	1	1	1	0	28	2292	0	1	0
262	1	1	1	0	28	2292	0	1	0
270	1	1	1	0	28	2292	0	1	0
272	1	1	1	0	28	2292	0	1	0
280	1	1	1	0	28	2292	0	1	0
282	1	1	1	0	28	2292	0	1	0
290	1	1	1	0	28	2292	0	1	0
292	1	1	1	0	28	2292	0	1	0
300	1	1	1	0	28	2292	0	1	0
302	1	1	1	0	28	2292	0	1	0
319	2	1	1	0	0	85	0	1	0
320	2	1	1	0	0	85	0	1	0
321	2	1	1	0	0	85	0	1	0
322	2	1	1	0	0	85	0	1	0
323	2	1	1	0	0	85	0	1	0
324	2	1	1	0	0	85	0	1	0
325	2	1	1	0	0	85	0	1	0
326	2	1	1	0	0	85	0	1	0
327	2	1	1	0	28	2292	0	1	0
330	2	1	1	0	28	2292	0	1	0
331	2	1	1	0	28	2292	0	1	0
332	2	1	1	0	28	2292	0	1	0
333	2	1	1	0	28	2292	0	1	0
335	2	1	1	0	28	2292	0	1	0
340	2	1	1	0	28	2292	0	1	0
342	2	1	1	0	28	2292	0	1	0
350	2	1	1	0	28	2292	0	1	0
352	2	1	1	0	28	2292	0	1	0
360	2	1	1	0	28	2292	0	1	0
362	2	1	1	0	28	2292	0	1	0
370	2	1	1	0	28	2292	0	1	0
372	2	1	1	0	28	2292	0	1	0
380	2	1	1	0	28	2292	0	1	0
382	2	1	1	0	28	2292	0	1	0
390	2	1	1	0	28	2292	0	1	0
392	2	1	1	0	28	2292	0	1	0
400	2	1	1	0	28	2292	0	1	0
402	2	1	1	0	28	2292	0	1	0
410	2	1	1	0	28	2292	0	1	0
412	2	1	1	0	28	2292	0	1	0
420	2	1	1	0	28	2292	0	1	0
422	2	1	1	0	28	2292	0	1	0
430	2	1	1	0	28	2292	0	1	0
432	2	1	1	0	28	2292	0	1	0
440	2	1	1	0	28	2292	0	1	0
442	2	1	1	0	28	2292	0	1	0
450	2	1	1	0	28	2292	0	1	0
452	2	1	1	0	28	2292	0	1	0
460	2	1	1	0	28	2292	0	1	0
462	2	1	1	0	28	2292	0	1	0
470	2	1	1	0	28	2292	0	1	0
472	2	1	1	0	28	2292	0	1	0
480	2	1	1	0	28	2292	0	1	0
482	2	1	1	0	28	2292	0	1	0
490	2	1	1	0	28	2292	0	1	0
492	2	1	1	0	28	2292	0	1	0
500	2	1	1	0	28	2292	0	1	0
